Country,Date
Angola,3/21/20
Benin,3/16/20
Botswana,3/30/20
Burkina Faso,3/9/20
Burundi,3/31/20
Cameroon,3/6/20
Cape Verde,3/20/20
Central African Republic,3/14/20
Chad,3/19/20
Democratic Republic of the Congo,3/10/20
Congo,3/14/20
Djibouti,3/18/20
Equatorial Guinea,3/14/20
Eritrea,3/20/20
Eswatini,3/14/20
Ethiopia,3/13/20
Gabon,3/12/20
Gambia,3/17/20
Ghana,3/12/20
Guinea,3/13/20
Guinea-Bissau,3/25/20
Ivory Coast,3/25/20
Kenya,3/12/20
Liberia,3/16/20
Magascar,3/20/20
Malawi,4/2/20
Mali,3/25/20
Mauritania,3/13/20
Mauritius,3/19/20
Mozambique,3/22/20
Namibia,3/14/20
Niger,3/19/20
Nigeria,2/27/20
Rwanda,3/14/20
Sao Tome and Principe,4/6/20
Senegal,3/2/20
Seychelles,3/14/20
Sierra Leone,3/31/20
Somalia,3/16/20
South Africa,3/5/20
South Sudan,4/5/20
Sudan,3/13/20
Tanzania,3/16/20
Togo,3/6/20
Uganda,3/20/20
Zambia,3/18/20
Zimbabwe,3/15/20
Comoros,4/20/20
Lesotho,NA
