"","x"
"1",0.0403125
"2",0.1203125
"3",0.1353125
"4",0.1671875
"5",0.2571875
"6",0.4096875
"7",0.50125
"8",0.4546875
"9",0.46125
"10",0.4853125
"11",0.6425
"12",0.6703125
"13",0.6596875
"14",0.6584375
"15",0.638125
"16",0.5771875
"17",0.6546875
"18",0.6478125
"19",0.65625
"20",0.656875
"21",0.6784375
"22",0.62125
"23",0.590625
"24",0.7075
"25",0.665
"26",0.6440625
"27",0.63875
"28",0.640625
"29",0.6696875
"30",0.6075
"31",0.6740625
"32",0.653125
"33",0.669375
"34",0.66
"35",0.6496875
"36",0.6321875
"37",0.58
"38",0.58
"39",0.58
"40",0.58
"41",0.58
"42",0.58
"43",0.58
"44",0.58
"45",0.58
"46",0.58
"47",0.58
"48",0.58
"49",0.58
"50",0.58
"51",0.58
"52",0.58
"53",0.58
"54",0.58
"55",0.58
"56",0.58
"57",0.58
"58",0.58
"59",0.58
"60",0.58
"61",0.58
"62",0.58
"63",0.58
"64",0.58
"65",0.58
"66",0.58
"67",0.58
"68",0.58
"69",0.58
"70",0.58
"71",0.58
"72",0.58
"73",0.58
"74",0.58
"75",0.58
"76",0.58
"77",0.58
"78",0.58
"79",0.58
"80",0.58
"81",0.58
"82",0.58
"83",0.58
"84",0.58
"85",0.58
"86",0.58
"87",0.58
"88",0.58
"89",0.58
"90",0.58
"91",0.58
"92",0.58
"93",0.58
"94",0.58
"95",0.58
"96",0.58
"97",0.58
"98",0.58
"99",0.58
"100",0.58
"101",0.58
"102",0.58
"103",0.58
"104",0.58
"105",0.58
"106",0.58
"107",0.58
"108",0.58
"109",0.58
"110",0.58
"111",0.58
"112",0.58
"113",0.58
"114",0.58
"115",0.58
"116",0.58
"117",0.58
"118",0.58
"119",0.58
"120",0.58
"121",0.58
"122",0.58
"123",0.58
"124",0.58
"125",0.58
"126",0.58
"127",0.58
"128",0.58
"129",0.58
"130",0.58
"131",0.58
"132",0.58
"133",0.58
"134",0.58
"135",0.58
"136",0.58
"137",0.58
"138",0.58
"139",0.58
"140",0.58
"141",0.58
"142",0.58
"143",0.58
"144",0.58
"145",0.58
"146",0.58
"147",0.58
"148",0.58
"149",0.58
"150",0.58
"151",0.58
"152",0.58
"153",0.58
"154",0.58
"155",0.58
"156",0.58
"157",0.58
"158",0.58
"159",0.58
"160",0.58
"161",0.58
"162",0.58
"163",0.58
"164",0.58
"165",0.58
"166",0.58
"167",0.58
"168",0.58
"169",0.58
"170",0.58
"171",0.58
"172",0.58
"173",0.58
"174",0.58
"175",0.58
"176",0.58
"177",0.58
"178",0.58
"179",0.58
"180",0.58
"181",0.58
"182",0.58
"183",0.58
"184",0.58
"185",0.58
"186",0.58
"187",0.58
"188",0.58
"189",0.58
"190",0.58
"191",0.58
"192",0.58
"193",0.58
"194",0.58
"195",0.58
"196",0.58
"197",0.58
"198",0.58
"199",0.58
"200",0.58
"201",0.58
"202",0.58
"203",0.58
"204",0.58
"205",0.58
"206",0.58
"207",0.58
"208",0.58
"209",0.58
"210",0.58
"211",0.58
"212",0.58
"213",0.58
"214",0.58
"215",0.58
"216",0.58
"217",0.58
"218",0.58
"219",0.58
"220",0.58
"221",0.58
"222",0.58
"223",0.58
"224",0.58
"225",0.58
"226",0.58
"227",0.58
"228",0.58
"229",0.58
"230",0.58
"231",0.58
"232",0.58
"233",0.58
"234",0.58
"235",0.58
"236",0.58
"237",0.58
"238",0.58
"239",0.58
"240",0.58
"241",0.58
"242",0.58
"243",0.58
"244",0.58
"245",0.58
"246",0.58
"247",0.58
"248",0.58
"249",0.58
"250",0.58
"251",0.58
"252",0.58
"253",0.58
"254",0.58
"255",0.58
"256",0.58
"257",0.58
"258",0.58
"259",0.58
"260",0.58
"261",0.58
"262",0.58
"263",0.58
"264",0.58
"265",0.58
"266",0.58
"267",0.58
"268",0.58
"269",0.58
"270",0.58
"271",0.58
"272",0.58
"273",0.58
"274",0.58
"275",0.58
"276",0.58
"277",0.58
"278",0.58
"279",0.58
"280",0.58
"281",0.58
"282",0.58
"283",0.58
"284",0.58
"285",0.58
"286",0.58
"287",0.58
"288",0.58
"289",0.58
"290",0.58
"291",0.58
"292",0.58
"293",0.58
"294",0.58
"295",0.58
"296",0.58
"297",0.58
"298",0.58
"299",0.58
"300",0.58
"301",0.58
"302",0.58
"303",0.58
"304",0.58
"305",0.58
"306",0.58
"307",0.58
"308",0.58
"309",0.58
"310",0.58
"311",0.58
"312",0.58
"313",0.58
"314",0.58
"315",0.58
"316",0.58
"317",0.58
"318",0.58
"319",0.58
"320",0.58
"321",0.58
"322",0.58
"323",0.58
"324",0.58
"325",0.58
"326",0.58
"327",0.58
"328",0.58
"329",0.58
"330",0.58
"331",0.58
"332",0.58
"333",0.58
"334",0.58
"335",0.58
"336",0.58
"337",0.58
"338",0.58
"339",0.58
"340",0.58
"341",0.58
"342",0.58
"343",0.58
"344",0.58
"345",0.58
"346",0.58
"347",0.58
"348",0.58
"349",0.58
"350",0.58
"351",0.58
"352",0.58
"353",0.58
"354",0.58
"355",0.58
"356",0.58
"357",0.58
"358",0.58
"359",0.58
"360",0.58
"361",0.58
"362",0.58
"363",0.58
"364",0.58
"365",0.58
