"","time","masking_compliance","date"
"1",1,0,2020-04-01
"2",2,0,2020-04-02
"3",3,0,2020-04-03
"4",4,0,2020-04-04
"5",5,0,2020-04-05
"6",6,0,2020-04-06
"7",7,0,2020-04-07
"8",8,0,2020-04-08
"9",9,0,2020-04-09
"10",10,0,2020-04-10
"11",11,0,2020-04-11
"12",12,0,2020-04-12
"13",13,0,2020-04-13
"14",14,0,2020-04-14
"15",15,0,2020-04-15
"16",16,0,2020-04-16
"17",17,0,2020-04-17
"18",18,0,2020-04-18
"19",19,0,2020-04-19
"20",20,0,2020-04-20
"21",21,0,2020-04-21
"22",22,0,2020-04-22
"23",23,0,2020-04-23
"24",24,0,2020-04-24
"25",25,0,2020-04-25
"26",26,0,2020-04-26
"27",27,0,2020-04-27
"28",28,0,2020-04-28
"29",29,0,2020-04-29
"30",30,0,2020-04-30
"31",31,0,2020-05-01
"32",32,0,2020-05-02
"33",33,0,2020-05-03
"34",34,0,2020-05-04
"35",35,0,2020-05-05
"36",36,0,2020-05-06
"37",37,0,2020-05-07
"38",38,0,2020-05-08
"39",39,0,2020-05-09
"40",40,0,2020-05-10
"41",41,0,2020-05-11
"42",42,0,2020-05-12
"43",43,0,2020-05-13
"44",44,0,2020-05-14
"45",45,0,2020-05-15
"46",46,0,2020-05-16
"47",47,0,2020-05-17
"48",48,0,2020-05-18
"49",49,0,2020-05-19
"50",50,0,2020-05-20
"51",51,0,2020-05-21
"52",52,0,2020-05-22
"53",53,0,2020-05-23
"54",54,0,2020-05-24
"55",55,0,2020-05-25
"56",56,0,2020-05-26
"57",57,0,2020-05-27
"58",58,0,2020-05-28
"59",59,0,2020-05-29
"60",60,0,2020-05-30
"61",61,0,2020-05-31
"62",62,0,2020-06-01
"63",63,0,2020-06-02
"64",64,0,2020-06-03
"65",65,0,2020-06-04
"66",66,0,2020-06-05
"67",67,0,2020-06-06
"68",68,0,2020-06-07
"69",69,0,2020-06-08
"70",70,0,2020-06-09
"71",71,0,2020-06-10
"72",72,0,2020-06-11
"73",73,0,2020-06-12
"74",74,0,2020-06-13
"75",75,0,2020-06-14
"76",76,0,2020-06-15
"77",77,0,2020-06-16
"78",78,0,2020-06-17
"79",79,0,2020-06-18
"80",80,0,2020-06-19
"81",81,0,2020-06-20
"82",82,0,2020-06-21
"83",83,0,2020-06-22
"84",84,0,2020-06-23
"85",85,0,2020-06-24
"86",86,0,2020-06-25
"87",87,0,2020-06-26
"88",88,0,2020-06-27
"89",89,0,2020-06-28
"90",90,0,2020-06-29
"91",91,0,2020-06-30
"92",92,0,2020-07-01
"93",93,0,2020-07-02
"94",94,0,2020-07-03
"95",95,0,2020-07-04
"96",96,0,2020-07-05
"97",97,0,2020-07-06
"98",98,0,2020-07-07
"99",99,0,2020-07-08
"100",100,0,2020-07-09
"101",101,0,2020-07-10
"102",102,0,2020-07-11
"103",103,0,2020-07-12
