"","time","Cases_sq","date","Hospitalizations_sq","ICU_sq","Death_sq","Severe_sq","Cases_sim","Hospitalizations_sim","ICU_sim","Death_sim","Severe_sim"
"1",1,0,2020-04-01,0,0,0,0,0,0,0,0,0
"2",2,0,2020-04-02,0,0,0,0,0,0,0,0,0
"3",3,0,2020-04-03,0,0,0,0,0,0,0,0,0
"4",4,0,2020-04-04,0,0,0,0,0,0,0,0,0
"5",5,0,2020-04-05,0,0,0,0,0,0,0,0,0
"6",6,0,2020-04-06,0,0,0,0,0,0,0,0,0
"7",7,0,2020-04-07,0,0,0,0,0,0,0,0,0
"8",8,0,2020-04-08,0,0,0,0,0,0,0,0,0
"9",9,0,2020-04-09,0,0,0,0,0,0,0,0,0
"10",10,0,2020-04-10,0,0,0,0,0,0,0,0,0
"11",11,0,2020-04-11,0,0,0,0,0,0,0,0,0
"12",12,0,2020-04-12,0,0,0,0,0,0,0,0,0
"13",13,0,2020-04-13,0,0,0,0,0,0,0,0,0
"14",14,0,2020-04-14,0,0,0,0,0,0,0,0,0
"15",15,0,2020-04-15,0,0,0,0,0,0,0,0,0
"16",16,0,2020-04-16,0,0,0,0,0,0,0,0,0
"17",17,0,2020-04-17,0,0,0,0,0,0,0,0,0
"18",18,0,2020-04-18,0,0,0,0,0,0,0,0,0
"19",19,0,2020-04-19,0,0,0,0,0,0,0,0,0
"20",20,0,2020-04-20,0,0,0,0,0,0,0,0,0
"21",21,0,2020-04-21,0,0,0,0,0,0,0,0,0
"22",22,0,2020-04-22,0,0,0,0,0,0,0,0,0
"23",23,0,2020-04-23,0,0,0,0,0,0,0,0,0
"24",24,0,2020-04-24,0,0,0,0,0,0,0,0,0
"25",25,0,2020-04-25,0,0,0,0,0,0,0,0,0
"26",26,0,2020-04-26,0,0,0,0,0,0,0,0,0
"27",27,0,2020-04-27,0,0,0,0,0,0,0,0,0
"28",28,0,2020-04-28,0,0,0,0,0,0,0,0,0
"29",29,0,2020-04-29,0,0,0,0,0,0,0,0,0
"30",30,0,2020-04-30,0,0,0,0,0,0,0,0,0
"31",31,0,2020-05-01,0,0,0,0,0,0,0,0,0
"32",32,0,2020-05-02,0,0,0,0,0,0,0,0,0
"33",33,0,2020-05-03,0,0,0,0,0,0,0,0,0
"34",34,0,2020-05-04,0,0,0,0,0,0,0,0,0
"35",35,0,2020-05-05,0,0,0,0,0,0,0,0,0
"36",36,0,2020-05-06,0,0,0,0,0,0,0,0,0
"37",37,0,2020-05-07,0,0,0,0,0,0,0,0,0
"38",38,0,2020-05-08,0,0,0,0,0,0,0,0,0
"39",39,0,2020-05-09,0,0,0,0,0,0,0,0,0
"40",40,0,2020-05-10,0,0,0,0,0,0,0,0,0
