Organisation unit,avdhr,avdlr,ba,bu,gud,gw,lap,nc,other,ss,syph,ud,rec,dorm,Longtitude,Latitude,District
Aa-salam Clinic,7,11,0,0,4,0,7,1,0,0,4,19,31,8,35.19221,-14.54537,Mangochi-DHO
African Bible College Health Centre,1,2,0,0,0,0,0,0,0,0,0,4,6,0,33.74129,-13.96816,#N/A
Airwing Clinic,65,3,2,6,26,2,13,0,1,5,0,73,82,28,33.69679,-13.96162,#N/A
Alinafe Community Hospital,3,6,0,0,11,0,3,0,0,0,8,8,14,19,34.24292,-13.38789,Nkhotakota-DHO
Alliance One Clinic,4,0,1,1,1,0,1,0,0,0,0,9,10,1,33.80108,-13.89571,#N/A
Alumenda Health Centre,0,5,0,0,0,0,0,0,1,0,4,9,14,4,34.85376,-16.15199,#N/A
Amalika Dispensary,26,4,1,0,3,1,54,0,1,2,15,9,13,19,35.08213,-15.93133,Thyolo-DHO
Area 18 Urban Health Centre,38,16,3,1,41,0,44,0,7,3,6,89,106,47,33.78051,-13.94131,Lilongwe-DHO
Area 25 Urban Health Centre,270,180,4,6,153,0,307,11,38,12,126,479,676,279,33.77465,-13.89272,Lilongwe-DHO
Area 30 Police Clinic,47,27,4,0,24,3,33,0,16,0,24,78,105,51,33.78419,-13.9279,#N/A
Atupele Community Hospital,9,4,0,0,3,0,18,0,0,0,6,19,23,9,33.83744,-9.73682,Karonga-DHO
Balaka District Hospital,151,151,24,16,116,10,226,12,133,15,98,322,501,224,34.95557,-14.98876,Balaka-DHO
Bangwe Health Centre,101,63,2,2,94,5,45,2,47,8,91,144,211,190,35.080477,-15.823832,Blantyre-DHO
Banja La Mtsogolo Mzuzu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01638,-11.45612,#N/A
Bembeke Health Centre,14,13,0,0,13,0,6,0,0,2,2,20,33,15,34.42432,-14.35825,Dedza-DHO
Benga Health Centre,38,3,0,0,21,0,10,0,1,0,13,34,37,34,34.27404,-13.36846,Nkhotakota-DHO
Bereu Dispensary,49,3,0,1,20,0,5,0,1,0,19,42,46,39,34.85382,-16.151924,Chikwawa-DHO
Bilal Dispensary,11,0,0,1,17,0,8,0,0,0,3,24,25,20,35.13047,-15.74149,Chiradzulu-DHO
Bilira Health Centre,21,10,2,1,18,0,4,0,6,2,0,39,50,18,34.85134,-14.82489,Ntcheu-DHO
Bimbi Health Centre,43,22,0,0,16,0,22,0,4,2,10,72,94,26,35.4794,-15.30876,Zomba-DHO
Biriwiri Health Centre,41,3,0,1,18,0,12,0,0,1,12,52,56,30,34.638306,-14.817,Ntcheu-DHO
Blantyre Adventist Hospital,7,12,0,0,5,7,2,0,0,0,0,2,14,12,35.003089,-15.782349,#N/A
